text,rating,polarity_score,polarity
kulu kulu,5,0,neutral
baik,5,3,positive
bisa neg mention,1,0,neutral
mudah mudah rezeki biaya hidup,5,13,positive
bagus,5,2,positive
ananias simon malakabu,5,0,neutral
ok,5,4,positive
aneh buka kolom jaring,1,10,positive
i cant register always try again,2,0,neutral
terima nama abdul yasmin sorot dunia,5,3,positive
google payments privacy notice last modified november the google privacy policy describes how we treat personal information when you use google products and services if you are under the age of you can find additional resources the google teen privacy guide google payments is offered google account holders and your use of it is subject the google privacy policy addition this privacy notice describes google privacy practices that are specific google payments,5,0,neutral
bagus neg,1,2,positive
moga slalu sukses canggih,3,4,positive
kurang iklan,5,-3,negative
excelent,5,0,neutral
tolong ajariysaya alam terimakasih,5,10,positive
mantap,5,5,positive
keren,5,0,neutral
moga sukses capai,5,8,positive
bisa neg minggu semenjak habis post portofolio mari periksa aman cepat fakta mohon bantu,2,9,positive
curi potong saldo dana,1,-1,negative
kotak black screen ganti sandi ulang,1,0,neutral
muas,5,5,positive
linkedln depan koneksi whatsapp mudah obrol cari kerja beri kerjatingkatkan fitur depan guna bagusbaiksemoga bagus amin sukses depan maju,5,16,positive
mantap,5,5,positive
masak saji makan makan tamu,5,8,positive
bagus manfaat,5,7,positive
good,3,5,positive
bagus,4,2,positive
susah lag parah mohon baik,1,-3,negative
bantu guna,5,4,positive
,5,0,neutral
platform konsep aman tolol tau bisa kena batas permanen bikin verifikasi persona dipake nama paksa biar data pribadi gitu verifikasi nunggu loading abad hadap captcha tolol,1,-22,negative
bahasa indonesia andi mijriana gula merah,5,0,neutral
akurasi cari kerja top,5,4,positive
oke,5,2,positive
pamer posisi curhat,1,-1,negative
bagus,5,2,positive
tolong bantu tutup hapus loading fungsi neg maksud tolong bantu hapus linkendin susah langsung hapus susah terimakasih,2,6,positive
notifikasi nonaktif mari laku periksa aman cepat banget jam muncul neg bener,4,7,positive
good suka,5,8,positive
amazing,5,0,neutral
verifikasi susah warga negara indonesia milik neg passport ktpsim verifikasi warga indonesia,2,-2,negative
mantab,4,0,neutral
bagus warna tampil sederhana tarik info guna nal gabung tim tim hebat negeri tambah komentar tombol terjemah bahasa mudah erti bahasa mohon maaf terima,5,0,neutral
bantu,5,3,positive
cocok samping,5,0,neutral
manusia,5,3,positive
bagus,5,2,positive
okbos,5,0,neutral
keren media anotasi ai,5,0,neutral
susah buffering jaring bagus,1,2,positive
baguss,5,0,neutral
good job,5,5,positive
repot paksa masuk linkedintapi respon cepatbikin neg susah habis,2,-10,negative
bantu koneksi bisnis,5,8,positive
terlalu neg manfaat ntah paham guna repot terkadang suka melihatlihat kerja banyak loker palsu putus hapus terimakasih,3,14,positive
usefull,5,0,neutral
manfaat tambah wawas alam,5,10,positive
cari kerja,5,-1,negative
bantu informasi kerja cari,5,4,positive
busuk cokmau verifikasi email susah banget,1,-7,negative
loading mulu jaring lancar tungguin sejan kelar neg kelar,1,15,positive
ribet tolol gagal blokir banyak atur bagus,1,-7,negative
p z,4,0,neutral
lumayan,5,1,positive
okay,5,4,positive
periksa cepat ulang ulang lodingnya jelas neg,1,-1,negative
ari rahayu,5,4,positive
loginnya susah sumpah bikin emosi masukin nomor hp nomor bisa neg pakai ganti nomor hp sampe kali bisa neg pecahin teka teki pilih bilang kosong pilih emang gila bikin badmood,1,-3,negative
kreeen abiss,5,0,neutral
jarang buka kena batas verif ribet kali verif buka neg,1,-4,negative
logout tutup,3,-2,negative
aplikasi bagus banget samping uang jajan pokok rekomen banget kerja samping ajar uang jajan tambah,5,1,positive
bagus,5,2,positive
akses data pribadi hapus bug masuk,1,-7,negative
gabisa upload,1,0,neutral
linkedinsangat bantu cari loker,5,0,neutral
sanggat guna,5,1,positive
jelek banget dah verifikasi identitas error persona aneh aneh suspend salah neg sumpah aneh banget dah kadang loading sampe abad dah periksa,1,-11,negative
bveaqis,2,0,neutral
assalamualaikum,5,3,positive
x hack negeri verifikasi hubung nomor handphone email verifikasi,4,-3,negative
duit tarik dana,1,6,positive
good goosss continue teransfaran for below alias zaini muhammad zaini,5,5,positive
good apps,5,5,positive
,5,0,neutral
uang ambil,1,-5,negative
aman pas mereset sandi bisa neg ganti salah koneksi,1,4,positive
lowong uptodate,3,0,neutral
moga informasi akurat manfaat penguna,5,8,positive
dpt neg kerja satt,1,2,positive
pake ktp curi data online neg langsung hibernasi emang paksa guna aktif tolol nggak nyampe,1,-10,negative
ok,5,4,positive
audah,5,0,neutral
teases mee get the chance iw,5,0,neutral
tolong baik bug aplikasi banget bug benerbener bisa neg gunain,2,3,positive
mudah luas relasi,5,10,positive
worst,1,0,neutral
bisa neg hp ku,1,0,neutral
senang sambung dunia profesional dunia update tahu dunia kerja,5,11,positive
alhamdulillaah baarakallahu fiikum,5,0,neutral
bantu koneksi bisnis lancar,5,12,positive
taiii anjimm gw pulihin di neg gubris gubris minggu,1,6,positive
gabisa masuk pas captcha gambar kali kali ulang,3,2,positive
suka bug tayang profil naik neg like konten naik neg refresh muncul update neg update neg cari loker suka naik neg konten bagus aplikasi,1,10,positive
bisa neg masuk verifikasi,1,-3,negative
best,5,0,neutral
nyaa uji sabar udahh kali besok huftt capee nyoo lamaa,4,6,positive
,5,0,neutral
flexing pacar cari kerja susah banget sebel apasih jt kerja,1,-8,negative
good,5,5,positive
busett dah cok daftar susah muter dikemananan niat sih neg bug gin difiks neg pdhl ngeluh tau susah nyari kerja diindo tambah gin mulu nambah stress harap mulu ama ginian mulu kuar lingkar setan,1,-16,negative
mohon baik apply sesuai atur apply mohon direset baru mohon kembali setting cari kerja,3,15,positive
tot,1,0,neutral
susah banget verifikasi bug aneh mudah akses masuk,1,5,positive
gatau hack gimana nomer hp ubah gabisa,1,-5,negative
dah tibatiba nonaktif gitu muter muter mulu,4,-1,negative
lampir perihal dfhaljkl,4,0,neutral
daftar ada neg kecewa bagi ilmu rekan profesi tambah wawas terima,5,20,positive
,5,0,neutral
jelek bug,1,-5,negative
daftar ngk maaf mulu maaf salah silah gw gitu mulu,1,8,positive
uang k info chat alamatkehiduan guys,5,1,positive
,5,0,neutral
the so slow verify fasr security it aint work at all when i forget my my password,1,1,positive
daftar gabisa,1,1,positive
waaaaoow asyik,5,0,neutral
bisa neg hasil postingan kolom cari tolong baca komen tolong baik bikin susah,1,9,positive
profesional bangun sadar mahasiswa kreatif produktif,5,8,positive
guna neg bisa neg daftar cs website ig lempar lempar bad layan bad bad,1,-8,negative
tbtb bayar otomatis rb,1,4,positive
like,5,0,neutral
cari kerja mudah mudah manfaat,5,12,positive
jlek nonaktif ape,1,0,neutral
semangat,5,4,positive
mantap,5,5,positive
bisa neg buka,2,3,positive
cerita bagus,5,4,positive
guna,5,1,positive
verifikasi chaptha diupang maksud benerin lahh sulit,1,3,positive
jelek banget susah kyk babi,1,-11,negative
buruk susah sulit periksa aman cepat sesuai neg tulis cepat lamban koneksi internet memori lancar ada neg kendala internal perangkat internal error coba bagai perangkat hasil ada neg ubah aju repoke playstore kecewa,1,7,positive
bulan bisa neg masuk baik,3,-1,negative
good hubung profesional,5,6,positive
bagus,5,2,positive
bantu job seeker,5,3,positive
linkedln sya bagus,3,2,positive
stuppid,1,0,neutral
bantu karir,5,3,positive
bisa neg verifikasi boot jelas neg,1,1,positive
bakrie contruction site manger medco coridor,5,0,neutral
masuk bisa neg sampe periksa cepat bener neg,1,-2,negative
ok,5,4,positive
mangkin aneh,5,4,positive
mantap,1,5,positive
diupdate masalah,1,-4,negative
oke bantu,5,5,positive
bagus bantu tambah aktifitas hasil,5,11,positive
iklan youtube,1,0,neutral
koneksi dg rekan,3,6,positive
mentokkkkkk,1,0,neutral
ae angel e ampun,1,1,positive
urg,3,0,neutral
periksa aman cepat gimana si aneh banget,1,3,positive
tolong kembali uang tarik otomatis dana nila sengaja neg pencet fitur langganannua mohon kembali uang karna butuh,1,7,positive
gilak cari uang halal jgn nipu,1,-7,negative
bisa neg connect duolingo,1,0,neutral
moga manfaat,5,6,positive
my account got restricted,1,-3,negative
tolong baik bisa neg masuk ganti hp masuk bisa neg,1,3,positive
full,5,0,neutral
bug update,3,0,neutral
the application is very good it keeps updating but the bugs are never fixed so whats the point of updating continuously,1,5,positive
top,5,5,positive
bisa neg masuk tunggu aman gitu,1,-2,negative
susah,1,-3,negative
ipandi,5,0,neutral
takut,1,1,positive
bantu,5,3,positive
cantum nama muhammad isro noor masuk neg usaha fakta,1,-1,negative
bantu dengab adanaya,5,3,positive
periksa aman cepat lambat,1,-1,negative
amazing have more excited story,5,-1,negative
masuk susah data bobol bagaikana linkeln,3,-13,negative
senang koneksi profesional cari kerja kecewa postingan kait kerja kena shadow banning teman batas minggu harap baik ada neg alami jadi,4,11,positive
bantu skali,5,3,positive
bisa neg masuk tolong baik,1,3,positive
aneh bisa neg lg,3,4,positive
stres bikin bisa neg email nomor smaa salah nama bikin ilang tolong bijak,1,-7,negative
